image_id,path,question,answer,difficulty
71kk0N6dR2L,3a/3adc1d6c.jpg,What is the necklace's main feature?,Pendant,0
71kk0N6dR2L,3a/3adc1d6c.jpg,What is the wishbone pendant's material?,Silver,0
71kk0N6dR2L,3a/3adc1d6c.jpg,What kind of closure does the necklace have?,Spring-ring,1
71kk0N6dR2L,3a/3adc1d6c.jpg,Where should you store the necklace?,Pouch,0
71kk0N6dR2L,3a/3adc1d6c.jpg,What coating might the necklace have?,Electrocoating,1
81M+JMkxSSL,38/3896badb.jpg,What phone model is the case designed for?,F15,0
81M+JMkxSSL,38/3896badb.jpg,What accessibility features are included with the case?,Cutouts,2
81M+JMkxSSL,38/3896badb.jpg,What is a feature of the case regarding flat surfaces?,Bezel,0
81M+JMkxSSL,38/3896badb.jpg,What adjective describes the design of the case?,Stylish,1
81M+JMkxSSL,38/3896badb.jpg,What material is mentioned as accessible?,Volume,0
81xqoFTLaML,b8/b8eb7f6c.jpg,What flavor is advertised?,Lemon,0
81xqoFTLaML,b8/b8eb7f6c.jpg,What form is it in?,Triglyceride,1
81xqoFTLaML,b8/b8eb7f6c.jpg,What quantity of Coenzyme Q10 is included?,100mg,0
81xqoFTLaML,b8/b8eb7f6c.jpg,What kind of fish is included?,Wild-caught,0
81xqoFTLaML,b8/b8eb7f6c.jpg,How much Total Omega-3s are included?,1280mg,2
A1AFTjFpqiL,a7/a74950db.jpg,What material is the sheet made from?,Cotton,0
A1AFTjFpqiL,a7/a74950db.jpg,What is a visual characteristic of the material?,Heathered,1
A1AFTjFpqiL,a7/a74950db.jpg,What textile is the sheet described as?,Jersey,1
A1AFTjFpqiL,a7/a74950db.jpg,How many centimeters is the height dimension of the sheet?,38,0
A1AFTjFpqiL,a7/a74950db.jpg,What pattern is Pinzon's duvet?,Stripe,1
71DSBhwbFJL,e4/e48408c7.jpg,What kind of device is the case designed for?,Oppo,0
71DSBhwbFJL,e4/e48408c7.jpg,What feature is expressed by the phone case design?,Personality,1
71DSBhwbFJL,e4/e48408c7.jpg,What color are the ports?,Silver,1
71DSBhwbFJL,e4/e48408c7.jpg,What type of material is shown on the case?,Wood,0
71DSBhwbFJL,e4/e48408c7.jpg,How many cutouts are specifically mentioned?,Three,5
7148pib2SuL,4e/4ed7f56c.jpg,What is the fluid volume of one bottle?,Eighteen,0
7148pib2SuL,4e/4ed7f56c.jpg,What type of lotion is shown?,Baby,3
7148pib2SuL,4e/4ed7f56c.jpg,What animal features in the brand's logo?,Bear,0
7148pib2SuL,4e/4ed7f56c.jpg,What color is the lotion pump?,Blue,0
7148pib2SuL,4e/4ed7f56c.jpg,What is the product's guarantee period?,Year,1
71N7V0t1m+L,0b/0b68d009.jpg,What brand phone is the case designed for?,Asus,1
71N7V0t1m+L,0b/0b68d009.jpg,What is the design described as?,Stylish,1
71N7V0t1m+L,0b/0b68d009.jpg,What number phone is the case for?,Two,0
71N7V0t1m+L,0b/0b68d009.jpg,Which port has a cutout?,Audio,0
71N7V0t1m+L,0b/0b68d009.jpg,What type of surface does the bezel lift the screen off?,Flat,0
716ekkw3R1L,af/afca9033.jpg,What color is the chair?,Black,0
716ekkw3R1L,af/afca9033.jpg,What is the maximum weight capacity of the chair?,Two-seventy-five,0
716ekkw3R1L,af/afca9033.jpg,How many degrees does the chair swivel?,Three-sixty,0
716ekkw3R1L,af/afca9033.jpg,What is the height adjustment type?,Pneumatic,3
716ekkw3R1L,af/afca9033.jpg,What material is the chair upholstered with?,Leather,0
61aj9ttg0vL,b4/b4d7b1de.jpg,What shape is the lollipop in the image?,Heart,0
61aj9ttg0vL,b4/b4d7b1de.jpg,Which color is the top half of the case?,Aquamarine,0
61aj9ttg0vL,b4/b4d7b1de.jpg,What kind of case is being advertised?,Mobile,0
61aj9ttg0vL,b4/b4d7b1de.jpg,What company's phone is this case for?,InFocus,2
61aj9ttg0vL,b4/b4d7b1de.jpg,What feature is described as raised?,Bezel,0
61KKuAf3C4L,b7/b755c1dd.jpg,What is the product's intended function?,Eliminator,1
61KKuAf3C4L,b7/b755c1dd.jpg,How many pods are included?,Six,1
61KKuAf3C4L,b7/b755c1dd.jpg,What brand is advertised on the label?,Amazon,0
61KKuAf3C4L,b7/b755c1dd.jpg,In what form are the contents delivered?,Pods,0
61KKuAf3C4L,b7/b755c1dd.jpg,What volume does one pod create in solution?,Ounces,0
81YzR+1qcRL,b3/b335044f.jpg,What material comprises the frame?,Iron,0
81YzR+1qcRL,b3/b335044f.jpg,What is the mirror's shape?,Circular,1
81YzR+1qcRL,b3/b335044f.jpg,What style room is suggested for this mirror?,Contemporary,1
81YzR+1qcRL,b3/b335044f.jpg,What is the mirror's diameter?,Twenty-four,0
81YzR+1qcRL,b3/b335044f.jpg,What is the frame's finish?,Rust,3
61t-OmwQouL,da/da620d9a.jpg,What color is the phone case's background?,Black,1
61t-OmwQouL,da/da620d9a.jpg,Which phone brand is this case compatible with?,Oppo,0
61t-OmwQouL,da/da620d9a.jpg,What is considered easy with this case?,Removal,0
61t-OmwQouL,da/da620d9a.jpg,What phrase is written in blue lettering?,IamMe,0
61t-OmwQouL,da/da620d9a.jpg,What feature does the raised bezel protect?,Camera,1
81wTjS-jpBL,0d/0d696692.jpg,What material is the case made of?,Hard,3
81wTjS-jpBL,0d/0d696692.jpg,For which phone brand is the case designed?,Samsung,0
81wTjS-jpBL,0d/0d696692.jpg,What is the printed pattern designed to express?,Personality,1
81wTjS-jpBL,0d/0d696692.jpg,Which generation of Galaxy J phone is this for?,Seventh,0
81wTjS-jpBL,0d/0d696692.jpg,What part does the raised bezel protect?,Camera,5
81lXGMt9aeL,fa/fa058883.jpg,What color is the object?,Black,1
81lXGMt9aeL,fa/fa058883.jpg,What material is the object likely made of?,Neoprene,0
81lXGMt9aeL,fa/fa058883.jpg,What type of closure appears to be present?,Velcro,5
81lXGMt9aeL,fa/fa058883.jpg,What general purpose might this object serve?,Support,2
81lXGMt9aeL,fa/fa058883.jpg,How many attachment points are visible?,One,0
81hwBSX4t7L,97/97677e2d.jpg,What is the shape of the chair's design?,Curved,1
81hwBSX4t7L,97/97677e2d.jpg,What is the seat depth in inches?,Twenty-two,0
81hwBSX4t7L,97/97677e2d.jpg,What material is the frame made of?,Hardwood,2
81hwBSX4t7L,97/97677e2d.jpg,What is the fabric composition?,Polyester,0
81hwBSX4t7L,97/97677e2d.jpg,How many days are allowed for free returns?,Thirty,0
61K8AKqsxSL,66/669d88d1.jpg,What phone brand is compatible with the case?,Samsung,0
61K8AKqsxSL,66/669d88d1.jpg,What year is the Galaxy J5 model?,2016,0
61K8AKqsxSL,66/669d88d1.jpg,What kind of material is the back of the case made of?,Hard,0
61K8AKqsxSL,66/669d88d1.jpg,What is the woman in the image wearing?,Dress,0
61K8AKqsxSL,66/669d88d1.jpg,What function do the perfect cutouts provide access to?,Volume,1
71Hzsdun1zL,30/30487106.jpg,What device is the case designed for?,Vivo,0
71Hzsdun1zL,30/30487106.jpg,What material makes up the back?,Hard,0
71Hzsdun1zL,30/30487106.jpg,What kind of design is featured?,Stylish,0
71Hzsdun1zL,30/30487106.jpg,What part of the phone does the bezel lift?,Camera,0
71Hzsdun1zL,30/30487106.jpg,How many ports are accessible?,Two,0
61FdXg1YASL,26/263eb355.jpg,Which company manufactures this phone?,Samsung,5
61FdXg1YASL,26/263eb355.jpg,What is the main color of the phone case?,Turquoise,1
61FdXg1YASL,26/263eb355.jpg,"Which device is ""Note 10""?",Galaxy,0
61FdXg1YASL,26/263eb355.jpg,What covers the phone's camera lens?,Bezel,0
61FdXg1YASL,26/263eb355.jpg,What is printed on the back of the case?,Beard,1
61o2BhegsEL,6f/6fbf8c63.jpg,How many prongs hold each gem?,Four,0
61o2BhegsEL,6f/6fbf8c63.jpg,What Institute certifies the jewelry?,Gemological,5
61o2BhegsEL,6f/6fbf8c63.jpg,What shape are the gems?,Round,0
61o2BhegsEL,6f/6fbf8c63.jpg,Where are the earrings manufactured?,States,1
61o2BhegsEL,6f/6fbf8c63.jpg,What kind of backing do they have?,Screw-post,1
71+tkyIgAHL,fa/fad03a94.jpg,What brand is the phone case designed for?,Oppo,0
71+tkyIgAHL,fa/fad03a94.jpg,What physical feature is the phone case designed to protect?,Camera,0
71+tkyIgAHL,fa/fad03a94.jpg,What adjective describes the design?,Stylish,0
71+tkyIgAHL,fa/fad03a94.jpg,What is the number of Zs in the compatible phone model?,One,1
71+tkyIgAHL,fa/fad03a94.jpg,What does the design express?,Personality,0
51icEySVZcL,3f/3f814c39.jpg,What material is the body made of?,Alloy,1
51icEySVZcL,3f/3f814c39.jpg,How many keys are included?,Two,0
51icEySVZcL,3f/3f814c39.jpg,What is the latch made of?,Zinc,3
51icEySVZcL,3f/3f814c39.jpg,What shape is the faceplate?,Rounded,0
51icEySVZcL,3f/3f814c39.jpg,What is the warranty duration?,Year,1
41uiqIgBnUL,47/4747e131.jpg,What color is the lampshade?,White,0
41uiqIgBnUL,47/4747e131.jpg,What is the base's color?,Bronze,2
41uiqIgBnUL,47/4747e131.jpg,How many watts is the included LED bulb?,Nine,1
41uiqIgBnUL,47/4747e131.jpg,What shape is the shade?,Drum,1
41uiqIgBnUL,47/4747e131.jpg,How tall is the lamp in inches?,28.25,0
71-TsCuqUAL,ca/cae1c478.jpg,What is the advertised brand of phone this case is for?,Vivo,0
71-TsCuqUAL,ca/cae1c478.jpg,What adjective describes the advertised material of the case?,Hard,1
71-TsCuqUAL,ca/cae1c478.jpg,What is the case's basic structural form?,Cover,0
